source_zip,package,filename,kind,size_bytes
Client_REFERENCE_source-only_20260625_1447(4).zip,AccountingPackage,AccountingPackage.bpl,active,1445888
Client_REFERENCE_source-only_20260625_1447(4).zip,AccountingPackage,AccountingPackage.bpl_bak,backup,1424384
Client_REFERENCE_source-only_20260625_1447(4).zip,AddOns,AddOns.bpl,active,39424
Client_REFERENCE_source-only_20260625_1447(4).zip,adortl200,adortl200.bpl,active,232312
Client_REFERENCE_source-only_20260625_1447(4).zip,adortl250,adortl250.bpl,active,233840
Client_REFERENCE_source-only_20260625_1447(4).zip,adortl250,adortl250.bpl_bak,backup,233840
Client_REFERENCE_source-only_20260625_1447(4).zip,adortl280,adortl280.bpl,active,254880
Client_REFERENCE_source-only_20260625_1447(4).zip,adortl280,adortl280.bpl_bak,backup,254880
Client_REFERENCE_source-only_20260625_1447(4).zip,adortl290,adortl290.bpl,active,241640
Client_REFERENCE_source-only_20260625_1447(4).zip,adortl290,adortl290.bpl_bak,backup,241640
Client_REFERENCE_source-only_20260625_1447(4).zip,adortl70,adortl70.bpl,active,149504
Client_REFERENCE_source-only_20260625_1447(4).zip,AdvancedPackage,AdvancedPackage.bpl,active,7680
Client_REFERENCE_source-only_20260625_1447(4).zip,BasePackage,BasePackage.bpl,active,6876672
Client_REFERENCE_source-only_20260625_1447(4).zip,BasePackage,BasePackage.bpl_bak,backup,6869504
Client_REFERENCE_source-only_20260625_1447(4).zip,bdertl200,bdertl200.bpl,active,359288
Client_REFERENCE_source-only_20260625_1447(4).zip,bdertl250,bdertl250.bpl,active,354304
Client_REFERENCE_source-only_20260625_1447(4).zip,bdertl250,bdertl250.bpl_bak,backup,354304
Client_REFERENCE_source-only_20260625_1447(4).zip,bdertl280,bdertl280.bpl,active,362400
Client_REFERENCE_source-only_20260625_1447(4).zip,bdertl280,bdertl280.bpl_bak,backup,362400
Client_REFERENCE_source-only_20260625_1447(4).zip,bdertl290,bdertl290.bpl,active,363936
Client_REFERENCE_source-only_20260625_1447(4).zip,bdertl290,bdertl290.bpl_bak,backup,363936
Client_REFERENCE_source-only_20260625_1447(4).zip,bdertl70,bdertl70.bpl,active,222208
Client_REFERENCE_source-only_20260625_1447(4).zip,bindcomp200,bindcomp200.bpl,active,2633592
Client_REFERENCE_source-only_20260625_1447(4).zip,bindcomp200,bindcomp200.bpl_bak,backup,2633592
Client_REFERENCE_source-only_20260625_1447(4).zip,bindcomp250,bindcomp250.bpl,active,2596720
Client_REFERENCE_source-only_20260625_1447(4).zip,bindcomp250,bindcomp250.bpl_bak,backup,2596720
Client_REFERENCE_source-only_20260625_1447(4).zip,bindcomp280,bindcomp280.bpl,active,2281888
Client_REFERENCE_source-only_20260625_1447(4).zip,bindcomp280,bindcomp280.bpl_bak,backup,2281888
Client_REFERENCE_source-only_20260625_1447(4).zip,bindcomp290,bindcomp290.bpl,active,2309608
Client_REFERENCE_source-only_20260625_1447(4).zip,bindcomp290,bindcomp290.bpl_bak,backup,2309608
Client_REFERENCE_source-only_20260625_1447(4).zip,bindengine200,bindengine200.bpl,active,1774456
Client_REFERENCE_source-only_20260625_1447(4).zip,bindengine200,bindengine200.bpl_bak,backup,1774456
Client_REFERENCE_source-only_20260625_1447(4).zip,bindengine250,bindengine250.bpl,active,1600880
Client_REFERENCE_source-only_20260625_1447(4).zip,bindengine250,bindengine250.bpl_bak,backup,1600880
Client_REFERENCE_source-only_20260625_1447(4).zip,bindengine280,bindengine280.bpl,active,1297824
Client_REFERENCE_source-only_20260625_1447(4).zip,bindengine280,bindengine280.bpl_bak,backup,1297824
Client_REFERENCE_source-only_20260625_1447(4).zip,bindengine290,bindengine290.bpl,active,1313768
Client_REFERENCE_source-only_20260625_1447(4).zip,bindengine290,bindengine290.bpl_bak,backup,1313768
